City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Takoradi,4.8845,-1.7554,78.66,84,12,6.62,GH,2021-02-22 06:03:31
1,Punta Arenas,-53.15,-70.9167,46.0,87,90,9.22,CL,2021-02-22 06:03:31
2,Mahebourg,-20.4081,57.7,77.0,94,75,4.61,MU,2021-02-22 06:03:32
3,New Norfolk,-42.7826,147.0587,64.99,39,88,7.0,AU,2021-02-22 06:03:32
4,Necochea,-38.5473,-58.7368,66.99,78,73,5.01,AR,2021-02-22 06:03:32
5,Mataura,-46.1927,168.8643,66.99,61,99,4.0,NZ,2021-02-22 06:03:32
6,Upernavik,72.7868,-56.1549,-18.9,84,19,14.38,GL,2021-02-22 06:03:35
7,Kapaa,22.0752,-159.319,73.99,83,40,17.27,US,2021-02-22 06:03:35
8,Kloulklubed,7.0419,134.2556,84.2,74,75,6.91,PW,2021-02-22 06:03:35
9,Bluff,-46.6,168.3333,66.99,61,100,4.0,NZ,2021-02-22 06:03:38
10,Georgetown,5.4112,100.3354,91.4,58,20,9.22,MY,2021-02-22 06:03:38
11,Hermanus,-34.4187,19.2345,62.01,73,16,1.01,ZA,2021-02-22 06:01:11
12,Calvinia,-31.4707,19.776,64.4,45,0,11.5,ZA,2021-02-22 06:03:38
13,Hilo,19.7297,-155.09,71.6,83,1,3.44,US,2021-02-22 06:03:31
14,Macklin,52.3334,-109.9348,37.4,75,98,18.41,CA,2021-02-22 06:03:42
15,Vanimo,-2.6741,141.3028,83.32,74,90,10.09,PG,2021-02-22 06:03:42
16,Mantua,45.1667,10.7833,46.99,96,49,1.01,IT,2021-02-22 06:03:42
17,Bandarbeyla,9.4942,50.8122,77.52,60,94,14.7,SO,2021-02-22 06:03:45
18,Albany,42.6001,-73.9662,17.6,67,90,4.61,US,2021-02-22 06:03:00
19,Itaituba,-4.2761,-55.9836,73.31,91,100,0.6,BR,2021-02-22 06:03:48
20,Borgarnes,64.5383,-21.9206,30.99,93,100,1.3,IS,2021-02-22 06:03:49
21,Khani,41.9563,42.9566,37.4,87,75,3.44,GE,2021-02-22 06:03:52
22,Micheweni,-4.9667,39.8333,82.45,72,100,7.29,TZ,2021-02-22 06:03:55
23,Souillac,-20.5167,57.5167,77.0,94,75,4.61,MU,2021-02-22 06:03:55
24,Port Elizabeth,-33.918,25.5701,62.6,72,0,5.75,ZA,2021-02-22 06:03:09
25,Jasper,37.2001,-94.3502,35.6,69,1,6.91,US,2021-02-22 06:03:58
26,Busselton,-33.65,115.3333,88.14,31,0,2.89,AU,2021-02-22 06:03:58
27,Jamestown,42.097,-79.2353,30.0,50,90,14.72,US,2021-02-22 06:04:02
28,Bud,39.447,-86.1758,42.01,78,100,18.72,US,2021-02-22 06:04:02
