City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2021-02-18 02:15:36,-33.6971,-53.4616,65.43,95,15,7.74
1,Bartica,GY,2021-02-18 02:15:36,6.4,-58.6167,73.4,94,20,6.91
2,Sao Sepe,BR,2021-02-18 02:15:37,-30.1606,-53.5653,66.2,88,0,1.14
3,Busselton,AU,2021-02-18 02:15:37,-33.65,115.3333,64.99,60,8,5.99
4,Ciudad Bolivar,VE,2021-02-18 02:15:37,8.1222,-63.5497,80.26,47,15,15.32
5,Ushuaia,AR,2021-02-18 02:12:58,-54.8,-68.3,51.8,87,75,3.44
6,Vallenar,CL,2021-02-18 02:15:37,-28.5708,-70.7581,60.55,70,0,1.9
7,Kangundo,KE,2021-02-18 02:15:37,-1.2979,37.3471,58.1,89,100,2.71
8,Barrow,US,2021-02-18 02:15:37,71.2906,-156.7887,-20.2,69,1,9.22
9,Masunga,BW,2021-02-18 02:15:37,-20.6246,27.4488,63.28,88,78,2.71
10,Rincon,US,2021-02-18 02:15:38,32.296,-81.2354,51.8,66,90,10.36
11,Kruisfontein,ZA,2021-02-18 02:15:38,-34.0033,24.7314,60.01,89,0,1.01
12,Batticaloa,LK,2021-02-18 02:15:38,7.7102,81.6924,74.79,84,96,6.13
13,Grand Gaube,MU,2021-02-18 02:15:38,-20.0064,57.6608,75.99,88,100,5.61
14,Carnarvon,AU,2021-02-18 02:15:38,-24.8667,113.6333,78.8,65,83,24.16
15,Caravelas,BR,2021-02-18 02:15:38,-17.7125,-39.2481,80.08,78,100,10.42
16,Los Llanos De Aridane,ES,2021-02-18 02:15:38,28.6585,-17.9182,62.6,59,0,6.91
17,Saldanha,ZA,2021-02-18 02:15:38,-33.0117,17.9442,59.0,82,0,2.3
18,Klaksvik,FO,2021-02-18 02:15:38,62.2266,-6.589,42.8,93,75,13.8
19,Hithadhoo,MV,2021-02-18 02:15:39,-0.6,73.0833,82.4,66,2,5.1
20,Southbridge,US,2021-02-18 02:15:39,42.0751,-72.0334,21.0,41,34,2.06
21,Mulege,MX,2021-02-18 02:15:39,26.8833,-111.9833,58.89,70,0,2.53
22,Mataura,NZ,2021-02-18 02:15:39,-46.1927,168.8643,63.0,69,18,11.01
23,Miramar,US,2021-02-18 02:15:39,25.9873,-80.2323,77.0,88,1,6.91
24,Ribeira Grande,PT,2021-02-18 02:15:39,38.5167,-28.7,58.37,76,100,18.07
25,Kailua,US,2021-02-18 02:15:39,21.4022,-157.7394,78.8,73,75,11.5
26,Kapaa,US,2021-02-18 02:15:39,22.0752,-159.319,78.8,61,1,12.66
27,Pisco,PE,2021-02-18 02:15:39,-13.7,-76.2167,69.8,78,0,10.36
28,Butaritari,KI,2021-02-18 02:15:39,3.0707,172.7902,82.08,80,0,17.83
29,Yurla,RU,2021-02-18 02:15:39,59.3259,54.3223,-14.94,90,71,1.45
30,Rikitea,PF,2021-02-18 02:15:40,-23.1203,-134.9692,78.91,67,14,9.31
31,Pauini,BR,2021-02-18 02:15:40,-7.7136,-66.9764,74.1,97,100,2.01
32,Vaini,TO,2021-02-18 02:15:40,-21.2,-175.2,84.2,74,75,8.05
33,Beroroha,MG,2021-02-18 02:15:40,-21.6667,45.1667,73.27,90,100,1.97
34,Visby,SE,2021-02-18 02:15:40,57.6409,18.296,23.0,74,90,9.22
35,Goderich,CA,2021-02-18 02:15:04,43.7501,-81.7165,6.8,85,100,6.91
36,Inverness,GB,2021-02-18 02:11:11,57.4791,-4.224,44.6,76,40,11.5
37,Hermanus,ZA,2021-02-18 02:15:40,-34.4187,19.2345,62.01,80,32,9.91
